product,topic,post_caption,text,date,country,clean,translated,sentiment,score,keywords
Eucerin acne spot treatment,-1,New pimples appear every morning.,Reduced a pimple overnight!,2024-04-20,US,reduced a pimple overnight,reduced a pimple overnight,2 stars,0.3404315710067749,"[('pimple', 0.6394), ('overnight', 0.428), ('reduced', 0.2493)]"
Eucerin acne spot treatment,-1,New pimples appear every morning.,Hat meine Haut geschuppt,2024-04-21,DE,hat meine haut geschuppt,made my skin peel,1 star,0.31259140372276306,"[('peel', 0.748), ('skin', 0.5744)]"
Eucerin acne spot treatment,-1,New pimples appear every morning.,बहुत असरदार है!,2024-04-22,IN,बह त असरद र ह,Many Asrad and Ha,5 stars,0.34908294677734375,"[('asrad', 0.7287), ('ha', 0.2523)]"
Eucerin acne spot treatment,-1,New pimples appear every morning.,No hizo nada para mí,2024-04-23,ES,no hizo nada para mí,it didn't do anything for me,2 stars,0.4277363121509552,"[('didn', 0.2455)]"
Eucerin acne spot treatment,-1,New pimples appear every morning.,Is it safe during pregnancy?,2024-04-24,UK,is it safe during pregnancy,is it safe during pregnancy,4 stars,0.3878561854362488,"[('pregnancy', 0.5835), ('safe', 0.3438)]"
Eucerin Q10 day cream,-1,My skin feels dull and tired.,Glow immediato!,2024-03-10,IT,glow immediato,immediate glow,5 stars,0.3683193624019623,"[('glow', 0.896), ('immediate', 0.531)]"
Eucerin Q10 day cream,-1,My skin feels dull and tired.,Çok ağır geldi cildime,2024-03-11,TR,çok ağır geldi cildime,It was very heavy on my skin,2 stars,0.49629074335098267,"[('heavy', 0.4957), ('skin', 0.4096)]"
Eucerin Q10 day cream,-1,My skin feels dull and tired.,Perfect under makeup,2024-03-12,UK,perfect under makeup,perfect under makeup,5 stars,0.7682260274887085,"[('makeup', 0.7102), ('perfect', 0.3475)]"
Eucerin Q10 day cream,-1,My skin feels dull and tired.,Je n’aime pas l’odeur,2024-03-13,FR,je n aime pas l odeur,I don't like the smell,2 stars,0.45564502477645874,"[('smell', 0.6976), ('don', 0.3377), ('like', 0.2218)]"
Eucerin Q10 day cream,-1,My skin feels dull and tired.,Is this vegan?,2024-03-14,NL,is this vegan,is this vegan,5 stars,0.33797499537467957,"[('vegan', 0.784)]"
Eucerin body lotion with SPF,-1,Looking for a body moisturizer with SPF.,¡Sin efecto blanco!,2024-06-10,ES,sin efecto blanco,no white effect,1 star,0.3278862237930298,"[('effect', 0.5038), ('white', 0.5005)]"
Eucerin body lotion with SPF,-1,Looking for a body moisturizer with SPF.,Feels sticky in summer,2024-06-11,US,feels sticky in summer,feels sticky in summer,3 stars,0.4272013306617737,"[('sticky', 0.5787), ('summer', 0.5427), ('feels', 0.2983)]"
Eucerin body lotion with SPF,-1,Looking for a body moisturizer with SPF.,Perfekt für jeden Tag,2024-06-12,DE,perfekt für jeden tag,perfect for every day,5 stars,0.8656045198440552,"[('day', 0.5132), ('perfect', 0.4095)]"
Eucerin body lotion with SPF,-1,Looking for a body moisturizer with SPF.,Keşke SPF daha yüksek olsaydı,2024-06-13,TR,keşke spf daha yüksek olsaydı,I wish the spf was higher,3 stars,0.47389543056488037,"[('spf', 0.7764), ('higher', 0.359), ('wish', 0.3413)]"
Eucerin body lotion with SPF,-1,Looking for a body moisturizer with SPF.,यह UVA भी देता है क्या?,2024-06-14,IN,यह uva भ द त ह क य,This is uva bdha t tha kya,1 star,0.26827874779701233,"[('bdha', 0.6155), ('kya', 0.5969), ('uva', 0.4188)]"
Eucerin foot cream,-1,My heels keep splitting every summer.,Morbidezza immediata!,2024-05-01,IT,morbidezza immediata,immediate softness,5 stars,0.37669432163238525,"[('softness', 0.8526), ('immediate', 0.5033)]"
Eucerin foot cream,-1,My heels keep splitting every summer.,Riecht wie Medizin,2024-05-02,DE,riecht wie medizin,smells like medicine,1 star,0.2438351809978485,"[('smells', 0.7005), ('medicine', 0.6573), ('like', 0.3607)]"
Eucerin foot cream,-1,My heels keep splitting every summer.,No me funcionó para grietas profundas,2024-05-03,ES,no me funcionó para grietas profundas,It didn't work for deep cracks.,2 stars,0.46928051114082336,"[('cracks', 0.6548), ('deep', 0.2353), ('didn', 0.1477)]"
Eucerin foot cream,-1,My heels keep splitting every summer.,Önerir misiniz diyabetliler için?,2024-05-04,TR,önerir misiniz diyabetliler için,Do you recommend it for diabetics?,3 stars,0.3928915858268738,"[('diabetics', 0.6849), ('recommend', 0.2137)]"
Eucerin foot cream,-1,My heels keep splitting every summer.,Works well after shower,2024-05-05,UK,works well after shower,works well after shower,4 stars,0.5211616158485413,"[('shower', 0.6125), ('works', 0.3205)]"
Eucerin calming face cream,-1,My face reacts to everything lately.,Sofort beruhigend!,2024-08-18,DE,sofort beruhigend,immediately calming,5 stars,0.6464018225669861,"[('calming', 0.8738), ('immediately', 0.5513)]"
Eucerin calming face cream,-1,My face reacts to everything lately.,Made my face oily,2024-08-19,US,made my face oily,made my face oily,5 stars,0.4614154100418091,"[('oily', 0.6619), ('face', 0.465)]"
Eucerin calming face cream,-1,My face reacts to everything lately.,خیلی آروم‌کننده‌ست,2024-08-20,IR,خیلی آروم کننده ست,It is very soothing,4 stars,0.394916832447052,"[('soothing', 0.7888)]"
Eucerin calming face cream,-1,My face reacts to everything lately.,Ça m’a donné des boutons,2024-08-21,FR,ça m a donné des boutons,it gave me pimples,3 stars,0.24126951396465302,"[('pimples', 0.6397), ('gave', 0.22)]"
Eucerin calming face cream,-1,My face reacts to everything lately.,Can teens use this?,2024-08-22,CA,can teens use this,can teens use this,5 stars,0.3196987807750702,"[('teens', 0.6669), ('use', 0.3397)]"
Eucerin vitamin C booster,-1,My skin has no glow anymore.,Piel más luminosa!,2024-02-10,ES,piel más luminosa,brighter skin,4 stars,0.34785279631614685,"[('brighter', 0.7612), ('skin', 0.6258)]"
Eucerin vitamin C booster,-1,My skin has no glow anymore.,تحسس لوجهي,2024-02-11,SA,تحسس لوجهي,Feel my face,5 stars,0.4601668119430542,"[('feel', 0.677), ('face', 0.6347)]"
Eucerin vitamin C booster,-1,My skin has no glow anymore.,Great underneath moisturizer,2024-02-12,DE,great underneath moisturizer,great underneath moisturizer,5 stars,0.6914263367652893,"[('moisturizer', 0.7592), ('underneath', 0.4579), ('great', 0.2125)]"
Eucerin vitamin C booster,-1,My skin has no glow anymore.,Mi è ossidato dopo 1 mese,2024-02-13,IT,mi è ossidato dopo 1 mese,it oxidized after 1 month,1 star,0.546418309211731,"[('oxidized', 0.6669), ('month', 0.3837)]"
Eucerin vitamin C booster,-1,My skin has no glow anymore.,Can I mix this with retinol?,2024-02-14,UK,can i mix this with retinol,can i mix this with retinol,5 stars,0.2704404294490814,"[('retinol', 0.7328), ('mix', 0.3595)]"
